FLD名,データ種類,物件種別,値,項目名
?,,,1,有
?,,,2,無
fld001,,,01,売物件情報
fld001,,,02,成約事例物件情報（売り物件）
fld001,,,03,賃貸物件情報
fld001,,,04,会員情報
fld001,,,05,成約事例物件情報
fld001,,,11,オークション
fld001,,,12,成約オークション
fld002,01,01,,売買土地
fld002,01,02,,売買一戸建住宅等
fld002,01,03,,売買マンション等
fld002,01,04,,売買住宅以外建物全部
fld002,01,05,,売買住宅以外建物一部
fld002,03,01,,賃貸土地
fld002,03,02,,賃貸一戸建住宅等
fld002,03,03,,賃貸マンション等
fld002,03,04,,賃貸住宅以外建物全部
fld002,03,05,,賃貸住宅以外建物一部
fld003,01,01,01,売地
fld003,01,01,02,借地権
fld003,01,01,03,底地権
fld003,01,02,01,新築一戸建住宅
fld003,01,02,02,中古一戸建住宅
fld003,01,02,03,新築テラスハウス（連棟式）
fld003,01,02,04,中古テラスハウス（連棟式）
fld003,01,03,01,新築マンション
fld003,01,03,02,中古マンション
fld003,01,03,07,新築タウンハウス
fld003,01,03,08,中古タウンハウス
fld003,01,03,09,新築リゾートマンション
fld003,01,03,10,中古リゾートマンション
fld003,01,03,99,その他
fld003,01,04,01,店舗
fld003,01,04,02,店舗付住宅
fld003,01,04,03,住宅付き店舗
fld003,01,04,04,事務所
fld003,01,04,05,店舗事務所
fld003,01,04,06,ビル
fld003,01,04,07,工場
fld003,01,04,08,マンション
fld003,01,04,09,倉庫
fld003,01,04,10,アパート
fld003,01,04,11,寮
fld003,01,04,12,旅館
fld003,01,04,13,ホテル
fld003,01,04,14,別荘
fld003,01,04,15,リゾートマンション
fld003,01,04,16,文化住宅
fld003,01,04,99,その他
fld003,01,05,01,店舗
fld003,01,05,02,事務所
fld003,01,05,03,店舗：事務所
fld003,01,05,99,その他
fld003,03,01,01,居住用地
fld003,03,01,02,事業用地
fld003,03,02,01,貸家
fld003,03,02,02,テラスハウス
fld003,03,03,01,マンション
fld003,03,03,02,アパート
fld003,03,03,03,タウンハウス
fld003,03,03,04,間借り
fld003,03,03,05,文化住宅
fld003,03,04,01,店舗戸建
fld003,03,04,02,事務所
fld003,03,04,03,工場
fld003,03,04,04,倉庫
fld003,03,04,05,マンション（一括）
fld003,03,04,06,旅館等
fld003,03,04,07,寮
fld003,03,04,08,別荘
fld003,03,04,09,ビル
fld003,03,04,10,住宅付店舗戸建
fld003,03,04,11,店舗事務所
fld003,03,04,99,その他
fld003,03,05,01,店舗一部
fld003,03,05,02,事務所
fld003,03,05,03,店舗事務所
fld003,03,05,04,住宅付店舗一部
fld003,03,05,05,マンション（一室）
fld003,03,05,06,旅館等
fld003,03,05,07,寮
fld003,03,05,08,別荘
fld003,03,05,09,ビル
fld003,03,05,10,住宅付店舗戸建
fld003,03,05,11,店舗事務所
fld003,03,05,99,その他
fld010,,,00,無し
fld010,,,02,有り
fld010,,,03,有り（らくらく登録・変更）
fld015,,,1,新築
fld015,,,2,中古
fld016,,,1,特優賃貸住宅
fld038,01,01,1,更地
fld038,01,01,2,上物有
fld038,01,02,1,所有者居住中
fld038,01,02,2,空家
fld038,01,02,3,賃貸中
fld038,01,02,4,未完成
fld038,01,02,１,所有者居住中
fld038,01,03,１,所有者居住中
fld038,01,03,2,空家
fld038,01,03,3,賃貸中
fld038,01,03,4,未完成
fld038,01,04,１,所有者居住中
fld038,01,04,2,空家
fld038,01,04,3,賃貸中
fld038,01,04,4,未完成
fld038,01,05,１,所有者居住中
fld038,01,05,2,空家
fld038,01,05,3,賃貸中
fld038,01,05,4,未完成
fld040,,,1,即時
fld040,,,2,相談
fld040,,,3,期日指定
fld040,,,4,予定
fld042,,,1,上旬
fld042,,,2,中旬
fld042,,,3,下旬
fld044,01,,1,売主
fld044,01,,2,代理
fld044,01,,3,専属専任媒介
fld044,01,,4,専任媒介
fld044,01,,5,一般媒介
fld044,03,,1,貸主
fld044,03,,2,代理
fld044,03,,3,専任媒介
fld044,03,,4,一般媒介
fld044,03,,9,その他
fld045,01,,1,分かれ
fld045,01,,2,当方不払
fld045,01,,4,当方片手数
fld045,01,,5,代理折半
fld045,01,,9,相談
fld045,03,,1,分かれ
fld045,03,,2,当方不払
fld045,03,,3,当方全額
fld045,03,,4,当方半額
fld045,03,,5,貸主折半
fld045,03,,6,借主折半
fld045,03,,9,相談
fld067,01,01,１,公簿
fld067,01,01,2,実測
fld067,01,03,１,壁芯
fld067,01,03,2,内法
fld067,01,05,1,壁芯
fld067,01,05,2,内法
fld067,03,01,1,公簿
fld067,03,01,2,実測
fld067,03,02,1,公簿
fld067,03,02,2,実測
fld067,03,03,1,壁芯
fld067,03,03,2,内法
fld067,03,04,1,公簿
fld067,03,04,2,実測
fld067,03,05,1,壁芯
fld067,03,05,2,内法
fld079,,,1,年
fld079,,,2,更新
fld079,,,3,解約
fld093,,,1,有
fld093,,,2,無
fld106,,,0,セットバック無
fld106,,,1,セットバック有
fld106,,,2,セットバック済
fld111,,,1,要
fld111,,,2,届出中
fld111,,,3,不要（否）
fld112,,,1,宅地
fld112,,,2,田
fld112,,,3,畑
fld112,,,4,山林
fld112,,,5,雑種地
fld112,,,9,その他
fld114,,,1,市街化区域
fld114,,,2,市街化調整区域
fld114,,,3,未線引区域
fld114,,,4,都市計画区域外
fld114,,,5,準都市
fld115,,,1,第一種低層住居専用地域
fld115,,,10,第二種低層住居専用地域
fld115,,,11,第一種中高層住居専用地域
fld115,,,12,第一種住居専用地域
fld115,,,13,準住居地域
fld115,,,2,第二種中高層住居専用地域
fld115,,,3,第二種住居地域
fld115,,,4,近隣商業地域
fld115,,,5,商業地域
fld115,,,6,準工業地域
fld115,,,7,工業地域
fld115,,,8,工業専用地域
fld115,,,99,無指定
fld117,01,01,01,住宅用地
fld117,01,01,02,マンション用地
fld117,01,01,03,ビル用地
fld117,01,01,04,店舗用地
fld117,01,01,05,工業用地
fld117,01,01,06,配送センタ用地
fld117,01,01,07,営業所用地
fld117,01,01,08,保養所用地
fld117,01,01,09,その他用地
fld117,01,01,10,事務所用地
fld117,01,01,11,別荘用地
fld117,01,01,12,倉庫用地
fld117,01,01,13,資材置場用地
fld117,01,01,14,家庭菜園用地
fld117,01,01,15,アパート用地
fld117,01,01,16,社宅社員寮用地
fld117,01,01,17,病院診療所用地
fld117,01,01,18,畑・農地用地
fld117,01,01,19,事業用地
fld117,01,01,20,駐車場用地
fld117,01,03,55,リゾート向
fld117,02,01,01,住宅用地
fld117,02,01,02,マンション用地
fld117,02,01,03,ビル用地
fld117,02,01,04,店舗用地
fld117,02,01,05,工業用地
fld117,02,01,06,配送センタ用地
fld117,02,01,07,営業所用地
fld117,02,01,08,保養所用地
fld117,02,01,09,その他用地
fld117,02,01,10,事務所用地
fld117,02,01,11,別荘用地
fld117,02,01,12,倉庫用地
fld117,02,01,13,資材置場用地
fld117,02,01,14,家庭菜園用地
fld117,02,01,15,アパート用地
